180		170	100		50		15	22	30	47	-4	-17	-31	-50	3	4	6	9	17	26
250		190	110		56		17	25	36	55	-4	-20	-34	-56	4	4	7	9	20	29
315		210	125		62		18	29	39	60	-4	-21	-37	-62	4	5	7	11	21	32
400		230	135		68		20	33	43	66	-5	-23	-40	-68	5	5	7	13	23	34
500		260	145		76		22				0	-26	-44	-78
630		290	160		80		24				0	-30	-50	-88
800		320	170		86		26				0	-34	-56	-100
1000		350	195		98		28				0	-40	-66	-120
1250		390	220		110		30				0	-48	-78	-140
1600		430	240		120		32				0	-58	-92	-170
2000		480	260		130		34				0	-68	-110	-195
2500		520	290		145		38				0	-76	-135	-240
0	-270	-140	-60	10	14		18		20		26	32	40	60
3	-270	-140	-70	15	19		23		28		35	42	50	80
6	-280	-150	-80	19	23		28		34		42	52	67	97
10	-290	-150	-95	23	28		33		40		50	64	90	130
14	-290	-150	-95	23	28		33	39	45		60	77	108	150
18	-300	-160	-110	28	35		41	47	54	63	73	98	136	188
24	-300	-160	-110	28	35	41	48	55	64	75	88	118	160	218
30	-310	-170	-120	34	43	48	60	68	80	94	112	148	200	274
40	-320	-180	-130	34	43	54	70	81	97	114	136	180	242	325
50	-340	-190	-140	41	53	66	87	102	122	144	172	226	300	405
65	-360	-200	-150	43	59	75	102	120	146	174	210	274	360	480
80	-380	-220	-170	51	71	91	124	146	178	214	258	335	445	585
100	-410	-240	-180	54	79	104	144	172	210	254	310	400	525	690
120	-460	-260	-200	63	92	122	170	202	248	300	365	470	620	800
140	-520	-280	-210	65	100	134	190	228	280	340	415	535	700	900
160	-580	-310	-230	68	108	146	210	252	310	380	465	600	780	1000
180	-660	-340	-240	77	122	166	236	284	350	425	520	670	880	1150
200	-740	-380	-260	80	130	180	258	310	385	470	575	740	960	1250
225	-820	-420	-280	84	140	196	284	340	425	520	640	820	1050	1350
250	-920	-480	-300	94	158	218	315	385	475	580	710	920	1200	1550
280	-1050	-540	-330	98	170	240	350	425	525	650	790	1000	1300	1700
315	-1200	-600	-360	108	190	268	390	475	590	730	900	1150	1500	1900
355	-1350	-680	-400	114	208	294	435	530	660	820	1000	1300	1650	2100
400	-1500	-760	-440	126	232	330	490	595	740	920	1100	1450	1850	2400
450	-1650	-840	-480	132	252	360	540	660	820	1000	1250	1600	2100	2600
500				150	280	400	600	740
560				155	310	450	660	820
630				175	340	500	740	920
710				185	380	560	840	1000
800				210	430	620	940	1150
900				220	470	680	1050	1300
1000				250	520	780	1150	1450
1120				260	580	840	1300	1600
1250				300	640	960	1450	1800
